episode_url,title
https://www.thegreatsimplification.com/episode/172-living-the-change,Living the Change: How TGS Viewers are Transforming Their Lives and Communities
https://www.thegreatsimplification.com/episode/157-best-of-tgs,Best of TGS: What Would You Do With a Magic Wand?
https://www.thegreatsimplification.com/episode/the-human-predicament-in-22-clips,The Human Predicament in 22 Clips
https://www.thegreatsimplification.com/episode/182-the-systems-science,"The Systems Science Behind Our Global Crises: How Energy Drives Economics, Ecology, and Our Future  | The Great Simplification Movie"
https://www.thegreatsimplification.com/frankly-original/frankly-1-what-war-in-the-ukraine-means-for-energy-and-money,What War in Ukraine means for Energy & Money
https://www.thegreatsimplification.com/frankly-original/frankly-02-are-americans-willing-to-risk-nuclear-war,Are Americans Willing to Risk Nuclear War?
https://www.thegreatsimplification.com/frankly-original/frankly-04-meeting-the-future-halfway,Meeting the Future Halfway
https://www.thegreatsimplification.com/frankly-original/frankly-06-the-end-of-abundance,The End of Abundance
https://www.thegreatsimplification.com/frankly-original/frankly-10-the-7-stages-of-climate,The 7 Stages of Climate Awareness
https://www.thegreatsimplification.com/frankly-original/frankly-11-in-spite-of,In Spite Of…
https://www.thegreatsimplification.com/frankly-original/12-the-speed-bump,The Speed Bump
https://www.thegreatsimplification.com/frankly-original/13-the-quiet-part-out-loud,The Quiet Part Out Loud
https://www.thegreatsimplification.com/frankly-original/14-7-shades-of-jekyll-and-hyde,7 Shades of Jekyll and Hyde
https://www.thegreatsimplification.com/frankly-original/15-7-realities-no-matter-who-wins,7 Realities – No Matter Who Wins
https://www.thegreatsimplification.com/frankly-original/16-7-boundaries-of-climate-concern,7 Boundaries of Climate Concern
https://www.thegreatsimplification.com/frankly-original/17-russia-be-careful-what-we-wish-for,Russia – Be Careful What We Wish For
https://www.thegreatsimplification.com/frankly-original/18-energy-gratitude,Energy Gratitude
https://www.thegreatsimplification.com/frankly-original/19-islands,“Islands”
https://www.thegreatsimplification.com/frankly-original/20-keeping-warm-data,Staying Warm Data with Nora Bateson
https://www.thegreatsimplification.com/frankly-original/21-reflections-predictions-intentions,"Reflections, Predictions, and Intentions"
https://www.thegreatsimplification.com/frankly-original/22-the-simple-story-of-civilization,The Simple Story of Civilization with Tom Murphy
https://www.thegreatsimplification.com/frankly-original/23-mordor-economy,The Mordor Economy
https://www.thegreatsimplification.com/frankly-original/24-not-for-sale,NOT for Sale
https://www.thegreatsimplification.com/frankly-original/25-loss-aversion,Loss Aversion
https://www.thegreatsimplification.com/frankly-original/26-a-bigger-boat,A Bigger Boat
https://www.thegreatsimplification.com/frankly-original/27-usa-but-wait-theres-more,"USA! (But wait, There’s More)"
https://www.thegreatsimplification.com/frankly-original/28-the-real-global-macro,The Real Global Macro
https://www.thegreatsimplification.com/frankly-original/31-reflections-on-beyond-growth,Reflections on ‘Beyond Growth’
https://www.thegreatsimplification.com/frankly-original/33-nato-ukraine-playing-russian-roulette-with-complex-life,NATO/Ukraine: Playing Russian Roulette with Complex Life
https://www.thegreatsimplification.com/frankly-original/34-limits-to-podcasting-about-limits,The Limits to Podcasting About Limits
https://www.thegreatsimplification.com/frankly-original/35-the-10-things-that-bring-me-joy,10 Things The Bring Me Joy
https://www.thegreatsimplification.com/frankly-original/36-cool-privilege,Cool Privilege
https://www.thegreatsimplification.com/frankly-original/37-just-stop-oil-part-1-gasoline,Just Stop Oil !!?? Part 1 – Gasoline
https://www.thegreatsimplification.com/frankly-original/38-the-7-things-that-scare-me-most,The 7 Things That Scare Me Most
https://www.thegreatsimplification.com/frankly-original/39-just-stop-oil-part-2-oil-is-the-economy,Just Stop Oil !!?? Part 2 – Oil is the Economy
https://www.thegreatsimplification.com/frankly-original/40-just-stop-oil-part-3-10-pathways-to-post-growth,Just Stop Oil !!?? Part 3 – 10 Pathways to Post-Growth
https://www.thegreatsimplification.com/frankly-original/41-just-stop-oil-part-4-the-intersection,Just Stop Oil !!?? Part 4 – The Intersection
