substack_filename,matched_episode_title,matched_episode_url,matched_type,match_score,match_method,word_count,text_cache_file
10 Things Worth More Than a Pound of Gold - by Nate Hagens.pdf,10 Things Worth More Than a Pound of Gold,https://www.thegreatsimplification.com/frankly-original/106-10-things-worth-more-than-a-pound-of-gold,frankly,1.00,exact_frankly_number,591,extraction/substack_text_cache/10 Things Worth More Than a Pound of Gold - by Nate Hagens.txt
11 Discoveries That Changed My Worldview - by Nate Hagens.pdf,11 Discoveries That Changed My Worldview,https://www.thegreatsimplification.com/frankly-original/113-11-discoveries-that-changed-my-worldview,frankly,1.00,exact_frankly_number,878,extraction/substack_text_cache/11 Discoveries That Changed My Worldview - by Nate Hagens.txt
"A Country of Geniuses: Anthropic CEO’s Warnings, Plus Wide-Boundary Considerations on AI.pdf","A Country of Geniuses: Anthropic CEO’s Warnings, Plus Wide-Boundary Considerations on AI",https://www.thegreatsimplification.com/frankly-original/122-a-country-of-geniuses,frankly,1.00,exact_frankly_number,690,"extraction/substack_text_cache/A Country of Geniuses: Anthropic CEO’s Warnings, Plus Wide-Boundary Considerations on AI.txt"
A Guide to Staying Human (Part 2): Navigating Dread and Carrying the Weight of Tomorrow.pdf,A Guide to Staying Human (Part 2): Navigating Dread and Carrying the Weight of Tomorrow,https://www.thegreatsimplification.com/frankly-original/142-a-guide-to-staying-human-part-2,frankly,1.00,exact_frankly_number,863,extraction/substack_text_cache/A Guide to Staying Human (Part 2): Navigating Dread and Carrying the Weight of Tomorrow.txt
A Guide to Staying Human (Part 3): Does Mindfulness Matter When the World Is Breaking Down?.pdf,A Guide to Staying Human (Part 3): The Default Mode Network and the Metacrisis,https://www.thegreatsimplification.com/frankly-original/143-a-guide-to-staying-human-part-3,frankly,1.00,exact_frankly_number,1073,extraction/substack_text_cache/A Guide to Staying Human (Part 3): Does Mindfulness Matter When the World Is Breaking Down?.txt
A Legacy Worth Celebrating? Reflecting on 250 Years of the American Experiment.pdf,A Legacy Worth Celebrating? Reflecting on 250 Years of the American Experiment,https://www.thegreatsimplification.com/frankly-original/149-a-legacy-worth-celebrating,frankly,1.00,exact_frankly_number,710,extraction/substack_text_cache/A Legacy Worth Celebrating? Reflecting on 250 Years of the American Experiment.txt
A Perspective From Lebanon: Who Will We Be When Things Get Hard?.pdf,A Perspective From Lebanon: Who Will We Be When Things Get Hard?,https://www.thegreatsimplification.com/frankly-original/140-a-perspective-from-lebanon,frankly,1.00,exact_frankly_number,767,extraction/substack_text_cache/A Perspective From Lebanon: Who Will We Be When Things Get Hard?.txt
A Word I Can't Seem to Understand: Non-Duality and Our Living World.pdf,A Word I Can’t Seem to Understand: Non-Duality and Our Living World,https://www.thegreatsimplification.com/frankly-original/144-a-word-i-cant-seem-to-understand,frankly,1.00,exact_frankly_number,711,extraction/substack_text_cache/A Word I Can't Seem to Understand: Non-Duality and Our Living World.txt
Ask Nate Anything 2025 - by Nate Hagens.pdf,Ask Nate Anything 2025,https://www.thegreatsimplification.com/frankly-original/100-ask-nate-anything-2025,frankly,1.00,exact_frankly_number,874,extraction/substack_text_cache/Ask Nate Anything 2025 - by Nate Hagens.txt
Behavioral Thermodynamics Part 1: Beyond the 4th Law?.pdf,Behavioral Thermodynamics Part 1: Beyond the 4th Law?,https://www.thegreatsimplification.com/frankly-original/117-behavioral-thermodynamics-part-1,frankly,1.00,exact_frankly_number,911,extraction/substack_text_cache/Behavioral Thermodynamics Part 1: Beyond the 4th Law?.txt
Directional Advice for the (More Than) Human Predicament.pdf,Directional Advice for the (More Than) Human Predicament,https://www.thegreatsimplification.com/frankly-original/114-directional-advice-for-the-more-than-human-predicament,frankly,1.00,exact_frankly_number,626,extraction/substack_text_cache/Directional Advice for the (More Than) Human Predicament.txt
