episode,episode_iri,chunk_id,chunk_type,start_seconds,end_seconds,topic_label,candidate_text,type_guess,confidence,context
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",Edmund Conway,Person,0.96,"""Today's guest is Edmund Conway, who is an economics journalist for Sky News"" — rendered as 'Ed Conway' later in the same chunk and in episode metadata as 'Ed Conway'"
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",Ed Conway,Person_NAME_VARIANT_CONFLICT,0.95,"""We did more of the same at a deeper level here with Ed Conway"" — short form of 'Edmund Conway' used in same chunk and in episode title metadata"
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",Nate Hagens,Person,0.97,"Host speaker label; guest says ""really good to talk to you, Nate"""
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",Sky News,Organization,0.95,"""an economics journalist for Sky News in England"""
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",The Times,Work_Publication,0.9,"""written for many other publications like The Times"""
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",The New Statesman,Work_Publication,0.92,listed among publications Conway has written for
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",The Daily Telegraph,Work_Publication,0.93,listed among publications Conway has written for
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",London School of Economics,Organization,0.94,"""lectured on international monetary system at the London School of Economics"""
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",U. S. Treasury,Organization,0.9,"""the London School of Economics, the U. S. Treasury, and many other places"""
TGS-127-EdConway,tgs:Interview.TGS_127_EdConway,TGS127_chunk_01,topic_anchored,0,83,"Edmund Conway Works + Info, Material World: The Six Raw Materials That Shape Modern Civilization",National Institute for Economic and Social Research,Organization,0.93,"""He's the governor of the National Institute for Economic and Social Research in England"""
